Exch	ExchType	Name	Expiry	ScripType	StrikeRate	LotSize	QtyLimit	ScripCode
N	D	NIFTY 26 JUN 2025 PE 28000.00	6/26/2025	PE	28000	75	1800	50538
N	D	NIFTY 26 JUN 2025 CE 32000.00	6/26/2025	CE	32000	75	1800	50854
N	D	NIFTY 26 JUN 2025 PE 32000.00	6/26/2025	PE	32000	75	1800	50855
N	D	NIFTY 26 JUN 2025 CE 27000.00	6/26/2025	CE	27000	75	1800	50969
N	D	NIFTY 26 JUN 2025 PE 27000.00	6/26/2025	PE	27000	75	1800	50970
N	D	NIFTY 26 JUN 2025 CE 30200.00	6/26/2025	CE	30200	75	1800	51293
N	D	NIFTY 26 JUN 2025 PE 30200.00	6/26/2025	PE	30200	75	1800	51294
N	D	NIFTY 26 JUN 2025 CE 30250.00	6/26/2025	CE	30250	75	1800	51295
N	D	NIFTY 26 JUN 2025 PE 30250.00	6/26/2025	PE	30250	75	1800	51296
N	D	NIFTY 26 JUN 2025 CE 30300.00	6/26/2025	CE	30300	75	1800	51297
N	D	NIFTY 26 JUN 2025 PE 30300.00	6/26/2025	PE	30300	75	1800	51298
N	D	NIFTY 26 JUN 2025 CE 21000.00	6/26/2025	CE	21000	75	1800	51449
N	D	NIFTY 26 JUN 2025 PE 21000.00	6/26/2025	PE	21000	75	1800	51450
N	D	NIFTY 26 JUN 2025 CE 29450.00	6/26/2025	CE	29450	75	1800	52457
N	D	NIFTY 26 JUN 2025 PE 29450.00	6/26/2025	PE	29450	75	1800	52462
N	D	NIFTY 26 JUN 2025 CE 29500.00	6/26/2025	CE	29500	75	1800	52463
N	D	NIFTY 26 JUN 2025 PE 29500.00	6/26/2025	PE	29500	75	1800	52464
N	D	NIFTY 26 JUN 2025 CE 29550.00	6/26/2025	CE	29550	75	1800	52465
N	D	NIFTY 26 JUN 2025 PE 29550.00	6/26/2025	PE	29550	75	1800	52474
N	D	NIFTY 26 JUN 2025 CE 29600.00	6/26/2025	CE	29600	75	1800	52475
N	D	NIFTY 26 JUN 2025 PE 29600.00	6/26/2025	PE	29600	75	1800	52476
N	D	NIFTY 26 JUN 2025 CE 18000.00	6/26/2025	CE	18000	75	1800	55119
N	D	NIFTY 26 JUN 2025 PE 18000.00	6/26/2025	PE	18000	75	1800	55120
N	D	NIFTY 26 JUN 2025	6/26/2025	XX	0	75	1800	56785
N	D	NIFTY 26 JUN 2025 CE 12000.00	6/26/2025	CE	12000	75	1800	58616
N	D	NIFTY 26 JUN 2025 PE 12000.00	6/26/2025	PE	12000	75	1800	58617
N	D	NIFTY 26 JUN 2025 CE 22000.00	6/26/2025	CE	22000	75	1800	58618
N	D	NIFTY 26 JUN 2025 PE 22000.00	6/26/2025	PE	22000	75	1800	58619
N	D	NIFTY 26 JUN 2025 CE 39000.00	6/26/2025	CE	39000	75	1800	59058
N	D	NIFTY 26 JUN 2025 PE 39000.00	6/26/2025	PE	39000	75	1800	59059
